upc,name,category,shelf_life_days,case_pack
4122071383,12ct H-E-B Sweet Aloha Rolls,Bread/Buns,14,
4122029439,24ct H-E-B Sweet Aloha Rolls,Bread/Buns,14,
81004433050,Avocado Brioche Buns,Bread/Buns,14,
65784646874,Baked Challah Bread 12,Bread/Buns,5,
81004433034,Blueberry Sliced Brioche,Bread/Buns,14,
4122077177,Brioche Hamburgr Bun,Bread/Buns,14,
4122085527,Brioche Hot Dog Bun,Bread/Buns,14,
81004433035,Cinnamon Raisin Sliced Brioche,Bread/Buns,14,
81004433022,Cristal Artisan Slice Bread5ct,Bread/Buns,5,
85088500877,Cristal Bagel Bun 4ct,Bread/Buns,5,
4122092537,H-E-B Aloha Swt Hamburger Buns,Bread/Buns,14,
4122092542,H-E-B Aloha Swt Hot Dog Buns 8ct,Bread/Buns,14,
4122048610,H-E-B Butter Brioche Slice Bread,Bread/Buns,7,
4122042257,H-E-B Sweet Aloha Rolls 4ct,Bread/Buns,14,
65708202702,Izzio Ciabatta Take & Bake,Bread/Buns,10,
81004433052,Jalapeno Cheddar Brioche Bun,Bread/Buns,14,
81004433036,Lemon Sliced Brioche,Bread/Buns,14,
4122097801,Organic Bah Cntry Itln Batard,Bread/Buns,10,
4122097802,Organic Bah Rstd Grlc Batard,Bread/Buns,10,
67331603651,Pretzilla Soft Pretzel Bites,Bread/Buns,10,
65708202713,Roasted Garlic Take & Bake,Bread/Buns,10,
65708202930,Rosemary Garlic Focaccia,Bread/Buns,10,
5178531850,Rts Hot Cross Buns,Bread/Buns,7,
65708202704,Sf Style Sourdough Take & Bake,Bread/Buns,10,
73661376046,Sliced Chocolate Babka,Babka,21,
73661376047,Sliced Cinnamon Babka,Babka,21,
4122055603,H-E-B Vanilla Almond Biscottini,Biscotti,pkg,
3439210310,My Nanas Bunuelo Chip 9oz,Bunuelo,30,
22783200000,Pan De Polvo,Bunuelo,30,
23280900000,Powdered Pan De Polvo,Bunuelo,30,
22762800000,10 Inch Angel Food Cake,Cakes,14,
9585601966,4 In Tiramisu Bowl,Cakes,7,
9585601791,4 Inch Lemoncello Bowl,Cakes,7,
4069768001,7 Up Ring Cake 26 oz,Cakes,10,
7121404008,Angel Food Cake Bar,Cakes,14,
4069768014,Cafe Valley Big Red Cream Cake,Cakes,6,
4069763021,Cafe Valley Honey Bun Cake,Cakes,14,
